batch_size,confidence_std_kendall_results,confidence_std_spread_results,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,n_input,n_output,name,nbytes_results,rmse_results,train_rmse_results,train_time_results,verbose,alg
1024,0.0438250298458769,2.155058532136172,87.0,1.0,999.0,2,2,468,9,1,protein,610232704,2.3898315913102977,1.0853788539303189,144.94623366557062,0,rf
1024,0.0506699743405183,2.130160626245356,71.0,1.0,999.0,5,8,616,9,1,protein,299004160,2.458102693754881,1.6504587423898276,176.5708464421332,0,rf
1024,0.0656168905984526,2.712435236636097,55.0,1.0,999.0,2,36,316,9,1,protein,63239296,2.767026914669573,2.148990039906097,85.32123174145818,0,rf
1024,0.037518511350375,2.29712172128,99.0,1.0,999.0,2,12,483,9,1,protein,251909312,2.517776632962688,1.5140341383600455,142.2817994914949,0,rf
1024,0.0314068905446844,0.9327695447318104,99.0,1.0,620.0,29,4,630,9,1,protein,49932672,2.9587913014388287,2.7471756347546794,151.12520192284137,0,rf
1024,0.0470299931395601,2.396533532808509,23.0,1.0,999.0,1,7,741,9,1,protein,594220352,2.448253957182331,1.1909005093308052,226.95947806164625,0,rf
1024,0.0106845837233995,0.8712877830228561,99.0,1.0,569.0,1,30,94,9,1,protein,6840192,2.814108225181432,2.49213050896454,19.756703353952616,0,rf
1024,0.0127617199840597,0.8006369071507214,46.0,1.0,849.0,3,11,733,9,1,protein,79609664,2.653589528199367,2.2109342074269134,177.69270208477974,0,rf
1024,0.0745429361144373,1.6146168532068474,16.0,1.0,999.0,2,23,485,9,1,protein,99567936,2.7291197101163567,2.055948573309922,125.99504092149436,0,rf
1024,0.0109216901924787,0.7717468239035122,99.0,1.0,577.0,4,6,609,9,1,protein,44939328,2.879510475768157,2.451315230096969,126.23620255291462,0,rf
1024,0.0742880919029485,3.32829834663916,94.0,1.0,999.0,2,2,99,9,1,protein,129129280,2.427530925233392,1.0905524773816255,30.68443545512855,0,rf
1024,0.0384892533940555,1.9900196770354357,39.0,1.0,999.0,6,22,340,9,1,protein,85379072,2.6259205658179767,2.022548338159218,90.47139606252313,0,rf
1024,0.0323970583056948,0.6904033320474706,35.0,1.0,999.0,33,2,266,9,1,protein,18693760,3.053450313284912,2.810112588172533,58.16239920817316,0,rf
1024,0.0581950018504058,1.2758514245099524,40.0,1.0,999.0,13,9,167,9,1,protein,30273472,2.8556177994668213,2.2777218627810574,41.49122400581837,0,rf
1024,0.0654656811031823,2.3601414499315285,99.0,1.0,999.0,1,14,735,9,1,protein,369830080,2.6067588236039327,1.5196473239959916,220.322795400396,0,rf
1024,0.0382548344550157,1.3688630737924226,62.0,1.0,999.0,4,5,582,9,1,protein,357143040,2.485502963129821,1.491784012034659,166.10016722790897,0,rf
1024,0.0497458573078844,1.6636444006558284,30.0,1.0,999.0,4,8,452,9,1,protein,276916096,2.499434954957952,1.494291603018674,116.67937040887772,0,rf
